Product Name,Description,Category,Origin,Packaging,Carbon (kg),Water (L),Transport Mode,Animal-Based,Imported,Eco Score
Organic Juice,"Glass bottle, no additives",Beverage,Portugal,TetraPak,22.32,3511,Truck,False,True,44
Cold Brew Coffee,"TetraPak, added vitamins",Beverage,Germany,Compost,9.94,1425,Air,False,True,64
Imported Beef Steak,"Plastic-wrapped, imported, grass-fed",Food,India,Compost,21.67,14804,Air,True,False,8
Local Paneer,"Organic, non-GMO, paper-wrapped",Food,Brazil,TetraPak,15.67,484,Air,True,True,44
Chicken Nuggets,"Vegan, packaged in TetraPak",Food,USA,Foil,16.19,3648,Air,True,True,36
Imported Organic Juice,"Glass bottle, no additives",Beverage,Germany,Foil,1.74,423,Ship,False,True,92
Imported Cold Brew Coffee,"Plastic bottle, filtered water",Beverage,USA,TetraPak,15.06,11893,Air,False,True,32
Organic Vegan Leather Wallet,"Reusable, printed cotton",Accessories,Brazil,None,12.28,15911,Ship,False,True,40
Imported Beef Steak,"Plastic-wrapped, imported, grass-fed",Food,China,Foil,29.61,3141,Air,True,True,10
Local Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,Brazil,Foil,14.19,13303,Ship,False,True,41
Imported Lotion,"Fragrance-free, paper tube",Personal Care,USA,None,4.58,2197,Air,False,True,72
Organic Cold Brew Coffee,"TetraPak, added vitamins",Beverage,China,Compost,10.76,11453,Air,False,True,42
Organic Deodorant,"Plastic case, roll-on type",Personal Care,Germany,Glass,1.35,16707,Ship,False,True,60
Imported Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,Germany,Cardboard,10.94,17555,Air,False,True,29
Imported Cold Brew Coffee,"Glass bottle, no additives",Beverage,Portugal,Glass,26.18,5138,Ship,False,True,33
Granola Bar,"Vegan, packaged in TetraPak",Food,China,None,6.29,17790,Ship,False,True,48
Imported Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Brazil,Foil,21.22,1954,Air,False,True,40
Eco Body Wash,"Gel-based, recyclable bottle",Personal Care,India,Compost,21.64,9799,Truck,False,False,38
Eco Body Wash,"Sulfate-free, 200ml plastic bottle",Personal Care,India,Glass,18.88,13130,Truck,False,False,37
Beef Steak,"Fresh, dairy-based, paper-packed",Food,Brazil,None,11.36,2063,Truck,True,True,59
Local Local Apples,"Fresh, dairy-based, paper-packed",Food,China,Plastic,15.97,8082,Ship,False,True,38
Organic Granola Bar,"Farm-grown, no packaging",Food,China,None,15.53,4231,Air,False,True,46
Organic Juice,"TetraPak, added vitamins",Beverage,Germany,Compost,18.04,4969,Air,False,True,40
Imported Deodorant,"Sulfate-free, 200ml plastic bottle",Personal Care,Portugal,Paper,5.69,9274,Air,False,True,56
Imported Shampoo,"Fragrance-free, paper tube",Personal Care,China,Cardboard,11.3,13319,Ship,False,True,47
Organic Body Wash,"Biodegradable, compostable wrapper",Personal Care,Brazil,Foil,24.95,8285,Air,False,True,20
Organic Chicken Nuggets,"Organic, non-GMO, paper-wrapped",Food,Brazil,None,17.35,6466,Truck,True,True,39
Imported Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,China,TetraPak,6.28,16593,Ship,False,True,50
Local Bottled Water,"Plastic bottle, filtered water",Beverage,Portugal,TetraPak,15.63,13691,Air,False,True,27
Local Beef Steak,"Plastic-wrapped, imported, grass-fed",Food,USA,Paper,9.75,2422,Truck,True,True,62
Local Cork Bag,"Recycled material, cloth lining",Accessories,Germany,None,5.19,11474,Truck,False,True,63
Eco Bottled Water,"Plastic bottle, filtered water",Beverage,India,Compost,2.33,15515,Air,False,False,55
Imported Bottled Water,"Aluminum can, roasted beans",Beverage,Germany,Paper,9.61,8988,Air,False,True,49
Cork Bag,"Reusable, printed cotton",Accessories,Germany,None,28.69,220,Air,False,True,28
Eco Lotion,"Sulfate-free, 200ml plastic bottle",Personal Care,Germany,Plastic,12.57,7256,Air,False,True,36
Recycled Sunglasses,"Reusable, printed cotton",Accessories,Brazil,Foil,4.73,7568,Air,False,True,61
Eco Shampoo,"Plastic case, roll-on type",Personal Care,USA,Plastic,4.78,9575,Truck,False,True,57
Organic Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Portugal,Paper,28.94,12830,Ship,False,True,13
Bamboo Toothbrush,"Gel-based, recyclable bottle",Personal Care,India,None,16.89,4236,Truck,False,False,59
Eco Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,China,Glass,22.57,12736,Truck,False,True,25
Local Organic Cotton Tote,"Plastic-free, eco-friendly frame",Accessories,India,Paper,10.48,19817,Air,False,False,31
Eco Body Wash,"Gel-based, recyclable bottle",Personal Care,India,Compost,16.59,5007,Air,False,False,47
Local Lotion,"Fragrance-free, paper tube",Personal Care,Germany,Cardboard,18.79,16893,Ship,False,True,25
Local Chicken Nuggets,"Fresh, dairy-based, paper-packed",Food,India,Glass,6.02,5572,Truck,True,False,67
Imported Energy Drink,"Aluminum can, roasted beans",Beverage,Portugal,None,14.14,5242,Air,False,True,47
Imported Paneer,"Mixed nuts, oats, wrapped in foil",Food,USA,Paper,22.2,13910,Air,True,True,4
Local Lotion,"Biodegradable, compostable wrapper",Personal Care,India,Glass,5.58,5671,Air,False,False,68
Vegan Leather Wallet,"Made of cork, shipped from Europe",Accessories,India,TetraPak,2.73,4220,Air,False,False,77
Organic Juice,"Aluminum can, roasted beans",Beverage,India,Paper,23.47,7977,Ship,False,False,39
Local Apples,"Mixed nuts, oats, wrapped in foil",Food,Portugal,Foil,25.4,5903,Truck,False,True,34
Imported Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,Germany,Cardboard,12.61,5245,Air,False,True,50
Eco Bottled Water,"Glass bottle, no additives",Beverage,Germany,TetraPak,5.56,1912,Air,False,True,71
Local Cold Brew Coffee,"TetraPak, added vitamins",Beverage,India,Glass,11.56,6258,Truck,False,False,65
Organic Chicken Nuggets,"Vegan, packaged in TetraPak",Food,Germany,Cardboard,1.47,1740,Air,True,True,70
Organic Energy Drink,"Aluminum can, roasted beans",Beverage,China,TetraPak,8.95,5255,Ship,False,True,68
Local Lotion,"Gel-based, recyclable bottle",Personal Care,Brazil,Cardboard,15.01,9700,Truck,False,True,46
Eco Bamboo Toothbrush,"Plastic case, roll-on type",Personal Care,India,Plastic,29.82,16568,Truck,False,False,0
Eco Granola Bar,"Plastic-wrapped, imported, grass-fed",Food,Germany,Plastic,21.99,2240,Truck,False,True,38
Imported Organic Juice,"TetraPak, added vitamins",Beverage,India,Glass,11.92,17766,Truck,False,False,42
Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,China,Paper,16.99,13796,Ship,False,True,35
Eco Tofu,"Mixed nuts, oats, wrapped in foil",Food,Germany,Glass,9.75,15640,Ship,False,True,45
Bamboo Toothbrush,"Plastic case, roll-on type",Personal Care,India,Foil,22.35,6526,Ship,False,False,43
Deodorant,"Gel-based, recyclable bottle",Personal Care,Germany,Glass,25.06,808,Truck,False,True,44
Imported Recycled Sunglasses,"Recycled material, cloth lining",Accessories,Portugal,Plastic,12.71,15469,Air,False,True,20
Imported Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Germany,None,24.97,14887,Truck,False,True,17
Organic Cork Bag,"Made of cork, shipped from Europe",Accessories,Brazil,None,3.9,4840,Air,False,True,69
Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,Portugal,Foil,21.11,340,Truck,False,True,53
Imported Bamboo Toothbrush,"Plastic case, roll-on type",Personal Care,Germany,None,12.52,1311,Ship,False,True,68
Eco Energy Drink,"TetraPak, added vitamins",Beverage,Brazil,None,11.68,7814,Truck,False,True,57
Local Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,Portugal,None,24.69,12235,Air,False,True,12
Local Deodorant,"Fragrance-free, paper tube",Personal Care,USA,Cardboard,15.93,19720,Truck,False,True,25
Organic Chicken Nuggets,"Farm-grown, no packaging",Food,USA,Paper,14.28,14190,Ship,True,True,29
Organic Lotion,"Sulfate-free, 200ml plastic bottle",Personal Care,China,Cardboard,3.69,14584,Truck,False,True,59
Imported Cold Brew Coffee,"Glass bottle, no additives",Beverage,Germany,Glass,24.53,7554,Truck,False,True,31
Organic Deodorant,"Plastic case, roll-on type",Personal Care,USA,Cardboard,2.75,5347,Air,False,True,70
Vegan Leather Wallet,"Recycled material, cloth lining",Accessories,Brazil,None,12.62,12853,Truck,False,True,45
Organic Recycled Sunglasses,"Made of cork, shipped from Europe",Accessories,China,Foil,29.15,11152,Air,False,True,5
Imported Organic Juice,"TetraPak, added vitamins",Beverage,Brazil,TetraPak,18.05,16952,Truck,False,True,26
Imported Bottled Water,"Glass bottle, no additives",Beverage,Brazil,Paper,6.25,17892,Truck,False,True,48
Imported Bottled Water,"Aluminum can, roasted beans",Beverage,Portugal,Glass,24.84,17688,Air,False,True,1
Chicken Nuggets,"Fresh, dairy-based, paper-packed",Food,Brazil,TetraPak,3.47,10294,Truck,True,True,59
Beef Steak,"Fresh, dairy-based, paper-packed",Food,India,Glass,5.11,13052,Ship,True,False,54
Energy Drink,"Aluminum can, roasted beans",Beverage,Brazil,Paper,6.52,18800,Ship,False,True,45
Eco Vegan Leather Wallet,"Reusable, printed cotton",Accessories,USA,Glass,6.01,9663,Air,False,True,54
Organic Juice,"TetraPak, added vitamins",Beverage,USA,Plastic,20.98,5318,Ship,False,True,34
Organic Cotton Tote,"Made of cork, shipped from Europe",Accessories,China,Glass,7.11,18705,Truck,False,True,44
Eco Body Wash,"Plastic case, roll-on type",Personal Care,Germany,Cardboard,10.35,10956,Truck,False,True,54
Imported Cork Bag,"Plastic-free, eco-friendly frame",Accessories,Portugal,None,17.7,19111,Ship,False,True,22
Organic Local Apples,"Frozen, plastic wrap, processed",Food,China,TetraPak,22.57,2103,Truck,False,True,46
Imported Cork Bag,"Made of cork, shipped from Europe",Accessories,Portugal,Paper,25.22,19789,Truck,False,True,6
Organic Juice,"Aluminum can, roasted beans",Beverage,Portugal,Paper,2.13,6869,Ship,False,True,78
Deodorant,"Fragrance-free, paper tube",Personal Care,Portugal,Compost,26.61,11345,Truck,False,True,20
Organic Bamboo Toothbrush,"Plastic case, roll-on type",Personal Care,Portugal,Plastic,25.4,6281,Truck,False,True,23
Organic Juice,"Plastic bottle, filtered water",Beverage,Germany,Foil,3.07,1248,Truck,False,True,87
Deodorant,"Gel-based, recyclable bottle",Personal Care,Brazil,Glass,26.07,14718,Ship,False,True,14
Local Body Wash,"Fragrance-free, paper tube",Personal Care,India,None,7.59,16560,Ship,False,False,52
Organic Chicken Nuggets,"Mixed nuts, oats, wrapped in foil",Food,Portugal,Foil,16.94,1290,Ship,True,True,50
Imported Organic Cotton Tote,"Plastic-free, eco-friendly frame",Accessories,USA,Cardboard,19.68,1134,Truck,False,True,54
Eco Cold Brew Coffee,"Glass bottle, no additives",Beverage,Portugal,Foil,18.43,2833,Truck,False,True,54
Imported Organic Juice,"TetraPak, added vitamins",Beverage,Brazil,Plastic,18.05,4867,Truck,False,True,40
Organic Paneer,"Mixed nuts, oats, wrapped in foil",Food,USA,Glass,25.68,13080,Air,True,True,0
Organic Almond Milk,"Frozen, plastic wrap, processed",Food,China,TetraPak,12.27,12316,Air,True,True,27
Organic Juice,"Aluminum can, roasted beans",Beverage,USA,Foil,17.07,13535,Air,False,True,24
Organic Recycled Sunglasses,"Recycled material, cloth lining",Accessories,USA,Plastic,11.23,1935,Truck,False,True,60
Eco Energy Drink,"Plastic bottle, filtered water",Beverage,Germany,TetraPak,16.51,17284,Truck,False,True,28
Local Body Wash,"Sulfate-free, 200ml plastic bottle",Personal Care,China,Cardboard,1.88,17761,Truck,False,True,57
Eco Lotion,"Biodegradable, compostable wrapper",Personal Care,Brazil,None,5.15,1094,Ship,False,True,83
Imported Almond Milk,"Frozen, plastic wrap, processed",Food,India,Compost,7.1,5518,Truck,True,False,65
Eco Cork Bag,"Recycled material, cloth lining",Accessories,China,Cardboard,15.79,4105,Truck,False,True,56
Local Shampoo,"Sulfate-free, 200ml plastic bottle",Personal Care,Brazil,Paper,21.32,11158,Truck,False,True,31
Eco Energy Drink,"TetraPak, added vitamins",Beverage,Germany,Compost,0.38,13622,Ship,False,True,68
Organic Body Wash,"Sulfate-free, 200ml plastic bottle",Personal Care,India,None,17.03,10311,Air,False,False,36
Local Chicken Nuggets,"Frozen, plastic wrap, processed",Food,USA,TetraPak,2.54,11084,Truck,True,True,58
Eco Cork Bag,"Made of cork, shipped from Europe",Accessories,Portugal,None,28.09,6884,Truck,False,True,26
Eco Recycled Sunglasses,"Recycled material, cloth lining",Accessories,China,None,20.59,14220,Air,False,True,16
Imported Almond Milk,"Plastic-wrapped, imported, grass-fed",Food,USA,TetraPak,27.52,16571,Truck,True,True,0
Eco Bottled Water,"TetraPak, added vitamins",Beverage,Germany,Foil,10.73,3010,Truck,False,True,68
Imported Body Wash,"Biodegradable, compostable wrapper",Personal Care,Portugal,Paper,16.74,9436,Air,False,True,34
Granola Bar,"Frozen, plastic wrap, processed",Food,Germany,TetraPak,11.11,8752,Ship,False,True,56
Tofu,"Organic, non-GMO, paper-wrapped",Food,India,TetraPak,0.21,13322,Truck,False,False,74
Organic Cork Bag,"Recycled material, cloth lining",Accessories,Germany,Cardboard,12.7,4317,Air,False,True,52
Organic Bamboo Toothbrush,"Sulfate-free, 200ml plastic bottle",Personal Care,India,Compost,16.26,11155,Air,False,False,36
Tofu,"Organic, non-GMO, paper-wrapped",Food,Germany,Foil,3.19,1842,Truck,False,True,86
Cork Bag,"Recycled material, cloth lining",Accessories,India,Cardboard,2.43,16662,Truck,False,False,63
Local Beef Steak,"Fresh, dairy-based, paper-packed",Food,Germany,Cardboard,6.99,15878,Ship,True,True,41
Almond Milk,"Organic, non-GMO, paper-wrapped",Food,India,Foil,26.25,2093,Truck,True,False,34
Organic Organic Juice,"Aluminum can, roasted beans",Beverage,India,Foil,22.13,3034,Ship,False,False,50
Organic Bottled Water,"Plastic bottle, filtered water",Beverage,USA,Cardboard,19.09,12895,Air,False,True,22
Eco Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,USA,Compost,1.17,18771,Truck,False,True,56
Deodorant,"Gel-based, recyclable bottle",Personal Care,India,Cardboard,3.87,3536,Ship,False,False,86
Eco Cork Bag,"Reusable, printed cotton",Accessories,China,Compost,3.6,19457,Truck,False,True,50
Eco Cold Brew Coffee,"Aluminum can, roasted beans",Beverage,Brazil,Plastic,29.78,14707,Air,False,True,0
Imported Organic Cotton Tote,"Reusable, printed cotton",Accessories,USA,Paper,1.52,9637,Ship,False,True,73
Chicken Nuggets,"Organic, non-GMO, paper-wrapped",Food,Germany,None,10.52,18969,Ship,True,True,27
Vegan Leather Wallet,"Reusable, printed cotton",Accessories,Brazil,Foil,13.69,5666,Air,False,True,47
Imported Bottled Water,"Glass bottle, no additives",Beverage,Germany,TetraPak,24.79,17007,Air,False,True,2
Vegan Leather Wallet,"Plastic-free, eco-friendly frame",Accessories,Germany,Paper,12.01,11154,Truck,False,True,49
Organic Cork Bag,"Made of cork, shipped from Europe",Accessories,Portugal,None,19.25,7858,Ship,False,True,42
Local Beef Steak,"Organic, non-GMO, paper-wrapped",Food,Brazil,Compost,17.08,17183,Ship,True,True,17
Cork Bag,"Recycled material, cloth lining",Accessories,Germany,Plastic,24.34,4893,Air,False,True,18
Local Deodorant,"Gel-based, recyclable bottle",Personal Care,India,Cardboard,14.45,1501,Ship,False,False,69
Eco Beef Steak,"Plastic-wrapped, imported, grass-fed",Food,Germany,Cardboard,20.45,5339,Air,True,True,25
Eco Body Wash,"Fragrance-free, paper tube",Personal Care,Portugal,Foil,1.03,1179,Air,False,True,81
Local Energy Drink,"Glass bottle, no additives",Beverage,Germany,None,13.14,5111,Ship,False,True,59
Organic Cotton Tote,"Recycled material, cloth lining",Accessories,China,Compost,5.35,18736,Truck,False,True,48
Imported Local Apples,"Farm-grown, no packaging",Food,China,None,15.32,14876,Truck,False,True,36
Body Wash,"Gel-based, recyclable bottle",Personal Care,Germany,Foil,25.77,19767,Air,False,True,0
Organic Energy Drink,"TetraPak, added vitamins",Beverage,Brazil,Cardboard,22.19,16259,Truck,False,True,19
Organic Shampoo,"Fragrance-free, paper tube",Personal Care,Brazil,Compost,6.63,1958,Ship,False,True,79
Local Cork Bag,"Plastic-free, eco-friendly frame",Accessories,Germany,Plastic,18.73,1506,Ship,False,True,45
Paneer,"Frozen, plastic wrap, processed",Food,China,Compost,13.58,2006,Air,True,True,44
Local Bottled Water,"TetraPak, added vitamins",Beverage,Germany,Foil,12.58,13925,Truck,False,True,43
Organic Juice,"TetraPak, added vitamins",Beverage,China,Cardboard,0.25,18786,Air,False,True,48
Local Cork Bag,"Made of cork, shipped from Europe",Accessories,Germany,Cardboard,5.56,8285,Air,False,True,58
Organic Paneer,"Plastic-wrapped, imported, grass-fed",Food,Portugal,Compost,25.5,11750,Truck,True,True,11
Local Deodorant,"Fragrance-free, paper tube",Personal Care,Germany,TetraPak,15.09,1452,Air,False,True,53
Local Organic Juice,"Glass bottle, no additives",Beverage,China,Plastic,11.75,14777,Truck,False,True,33
Organic Bottled Water,"Plastic bottle, filtered water",Beverage,Portugal,Glass,15.54,11586,Truck,False,True,41
Organic Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,Portugal,Paper,1.88,13714,Air,False,True,55
Almond Milk,"Vegan, packaged in TetraPak",Food,USA,Cardboard,20.42,11748,Truck,True,True,22
Local Vegan Leather Wallet,"Recycled material, cloth lining",Accessories,Portugal,TetraPak,11.7,1631,Air,False,True,59
Eco Lotion,"Biodegradable, compostable wrapper",Personal Care,India,Cardboard,15.85,18831,Ship,False,False,32
Local Bamboo Toothbrush,"Biodegradable, compostable wrapper",Personal Care,Portugal,Compost,12.54,14527,Ship,False,True,41
Organic Shampoo,"Plastic case, roll-on type",Personal Care,China,Compost,0.27,11428,Ship,False,True,73
Eco Bamboo Toothbrush,"Fragrance-free, paper tube",Personal Care,Germany,None,2.01,14370,Truck,False,True,63
Imported Recycled Sunglasses,"Recycled material, cloth lining",Accessories,Brazil,TetraPak,16.48,4032,Ship,False,True,55
Organic Lotion,"Sulfate-free, 200ml plastic bottle",Personal Care,USA,Plastic,27.87,154,Truck,False,True,30
Imported Body Wash,"Plastic case, roll-on type",Personal Care,China,Cardboard,7.74,17553,Air,False,True,35
Local Bottled Water,"Glass bottle, no additives",Beverage,Germany,Foil,4.45,9899,Ship,False,True,68
Local Tofu,"Fresh, dairy-based, paper-packed",Food,India,Compost,16.01,18898,Ship,False,False,31
Imported Chicken Nuggets,"Plastic-wrapped, imported, grass-fed",Food,Germany,Paper,7.69,1349,Air,True,True,58
Imported Bottled Water,"TetraPak, added vitamins",Beverage,USA,Foil,5.39,3137,Truck,False,True,79
Organic Juice,"TetraPak, added vitamins",Beverage,Brazil,Glass,24.26,9148,Truck,False,True,29
Eco Organic Juice,"Plastic bottle, filtered water",Beverage,China,Foil,2.59,17709,Ship,False,True,55
Imported Recycled Sunglasses,"Plastic-free, eco-friendly frame",Accessories,China,TetraPak,12.51,16506,Ship,False,True,37
Local Granola Bar,"Mixed nuts, oats, wrapped in foil",Food,India,Cardboard,8.26,15044,Air,False,False,44
Local Apples,"Vegan, packaged in TetraPak",Food,India,Glass,4.95,16435,Air,False,False,49
Bamboo Toothbrush,"Plastic case, roll-on type",Personal Care,Germany,None,22.56,19575,Air,False,True,1
Local Almond Milk,"Plastic-wrapped, imported, grass-fed",Food,Portugal,TetraPak,23.34,19959,Truck,True,True,0
Organic Tofu,"Farm-grown, no packaging",Food,Brazil,Paper,23.69,9243,Ship,False,True,30
Cold Brew Coffee,"TetraPak, added vitamins",Beverage,USA,Paper,18.63,363,Air,False,True,48
Body Wash,"Gel-based, recyclable bottle",Personal Care,Brazil,Foil,17.84,6082,Truck,False,True,48
Local Almond Milk,"Farm-grown, no packaging",Food,China,Compost,3.73,14226,Air,True,True,40
Eco Bottled Water,"Aluminum can, roasted beans",Beverage,Brazil,Paper,18.97,4441,Air,False,True,40
Local Organic Cotton Tote,"Plastic-free, eco-friendly frame",Accessories,China,Paper,2.54,7810,Air,False,True,65
Organic Cork Bag,"Recycled material, cloth lining",Accessories,Portugal,Compost,29.59,4080,Ship,False,True,28
Imported Almond Milk,"Vegan, packaged in TetraPak",Food,Brazil,None,3.97,1484,Air,True,True,66
Organic Shampoo,"Biodegradable, compostable wrapper",Personal Care,Germany,Plastic,10.06,8566,Truck,False,True,48
Almond Milk,"Organic, non-GMO, paper-wrapped",Food,Germany,Cardboard,16.8,11160,Ship,True,True,30
Organic Granola Bar,"Mixed nuts, oats, wrapped in foil",Food,Portugal,Foil,6.65,7275,Truck,False,True,68
Eco Shampoo,"Gel-based, recyclable bottle",Personal Care,China,Compost,8.81,3449,Ship,False,True,72
Eco Bottled Water,"TetraPak, added vitamins",Beverage,Brazil,Plastic,10.8,8857,Ship,False,True,47
Organic Shampoo,"Biodegradable, compostable wrapper",Personal Care,Portugal,Plastic,17.1,9032,Ship,False,True,33
Organic Organic Cotton Tote,"Plastic-free, eco-friendly frame",Accessories,Germany,Compost,17.89,5639,Ship,False,True,49
